experiment_temperature_c,sample_id,source_row,time_h,ph_after_degas_25c,ph_after_degas_status,co2_after_degas_mmol_kg,co2_after_degas_status,ph_before_degas_25c,ph_in_situ_500_bar,h2_mmol_kg,h2_status,total_co2_mmol_kg,chloride_mmol_kg,sodium_mmol_kg,potassium_mmol_kg,potassium_status,magnesium_mmol_kg,calcium_mmol_kg,silicon_mmol_kg,silicon_status,iron_mmol_kg,iron_status,manganese_mmol_kg,manganese_status
100,start,4,0,,not_analyzed,,not_analyzed,4.9,4.76,,not_detected,396,1026.9,994.7,,not_detected,0.02,0.05,,not_detected,,not_detected,,not_detected
100,1,5,20,7.9,,49.465,,5.488,5.326,0.0094,,278,976.7,989.4,2.85,,35.216,6.98,5.819,,2.47,,0.102,
100,2,6,212,7.5,,93.46,,5.872,5.715,0.00856,,259.9,971.3,1036.2,0.618,,35.45,2.18,5.872,,0.059,,,not_detected
100,3,7,836,7.3,,69.27,,5.803,5.655,0.00596,,213.7,975.4,1007.5,0.657,,14.995,0.624,6.26,,0.0088,,,not_detected
100,4,8,1580,8.4,,55.29,,6.182,6.035,0.0053,,118.8,955.6,988.9,1.56,,10.74,0.609,6.072,,0.011,,,not_detected
100,5,9,3404,7.6,,25.116,,6.288,6.141,0.0094,,43.7,958.1,1003.7,0.801,,5.539,0.413,5.92,,,not_detected,,not_detected
100,6,10,5732,8.3,,13.99,,5.864,5.722,0.0128,,49.68,961.1,994.4,0.719,,2.995,0.547,5.11,,,not_detected,,not_detected
300,start,13,0,,not_analyzed,,not_analyzed,4.9,6.56,,not_detected,396,1058.7,1000.7,,not_detected,0.01,0.05,,not_detected,,not_detected,,not_detected
300,1,14,20,6.5,,2.8,,4.266,5.686,5.21,,171.9,1014.3,928.1,2.52,,2.215,30.54,8.65,,0.039,,0.1687,
300,2,15,72,6.4,,2.9,,4.321,5.561,0.0627,,136,1018.497,933,1.92,,4.78,32.93,3.4,,0.468,,0.45,
300,3,16,240,6.8,,1.8,,4.342,5.573,0.173,,113.3,1034.3,945.99,1.94,,4.455,34.137,3.12,,0.617,,0.148,
300,4,17,768,6.8,,1.3,,4.314,5.541,0.497,,64.2,1032.8,934.3,0.975,,3.039,35.531,2.65,,0.502,,0.103,
300,5,18,1584,6.8,,1.8,,4.643,5.936,0.569,,56.2,1029.2,925.7,1.778,,2.481,37.2,2.67,,0.434,,0.153,
300,6,19,2520,6.3,,1.9,,4.453,5.759,0.421,,61.6,1021.4,929.5,1.788,,2.225,38.5153,3.26,,0.407,,0.173,
