event_id,time_s,reaction_id,x_m,y_m,z_m,temperature_k,reactant_particle_ids,product_particle_ids,separation_m,facing_cosine_1,facing_cosine_2,hazard_s_inv,acceptance_probability,random_draw,composition_balance,charge_balance
1,0.1,artificial_alpha_beta_to_xy,0.01352958190643556,0.003921560679612212,0.00831295813246182,300.460813557094,25|111,129,0.0009782606609327598,0.16180619480221756,0.7394146764881111,2.694394503690637,0.23619247361393625,0.1531552468630265,true,true
2,0.30000000000000004,artificial_alpha_beta_to_xy,0.004140778492570366,0.0072984714364217615,0.009721660807873046,305.48830369105536,38|108,130,0.001974513095595865,0.3578906546625469,0.42031522210982786,2.730129187524603,0.23891704467687772,0.0006550252863637418,true,true
3,0.6,artificial_alpha_beta_to_xy,0.00942381218369228,0.012543842558694476,0.011172993296679227,300.76303623209844,43|87,131,0.0015967673883091585,0.4236100147937757,0.9478170326545279,2.6965629388526122,0.2363580823674148,0.0767615805928975,true,true
4,1.9000000000000006,artificial_alpha_beta_to_xy,0.02505609166053343,0.004354311920769988,0.007485217258704105,300.0000208647894,51|66,132,0.0019626146923230428,0.7208618870618279,0.9409749987927225,2.691083295715676,0.23593951917973993,0.21300030881804122,true,true
5,2.800000000000001,artificial_alpha_beta_to_xy,0.014318929515464042,0.01387571739846272,0.002516272512253787,300.6322628304606,52|69,133,0.0019464193322586022,0.2081448493149142,0.12886183403549406,2.6956249661425815,0.23628645148017896,0.03720841755212012,true,true
6,3.5000000000000018,artificial_alpha_beta_to_xy,0.012998724307001667,0.0020591265191600818,0.014223865568727862,300.01246040450394,62|92,134,0.001954705646129516,0.22742336696226548,0.32215761447491376,2.691172764987722,0.23594635514266127,0.22205636622885172,true,true
7,3.600000000000002,artificial_alpha_beta_to_xy,0.028866070237461926,0.011636752285973988,0.005153882831752402,300.00000023423564,1|77,135,0.0002251635815724261,0.12672690881168067,0.9874413209918697,2.691083147330237,0.23593950784219486,0.08265894542936425,true,true
8,4.300000000000001,artificial_alpha_beta_to_xy,0.02680354257898554,0.008563229703360051,0.009941964732774637,300.0000008401796,11|107,136,0.0019878214554518206,0.3681145304552341,0.06774965778287856,2.6910831516884945,0.23593950817519213,0.12959092683883722,true,true
9,4.999999999999998,artificial_alpha_beta_to_xy,0.02326700782385944,0.014563605034479891,0.011003057224895632,300.0000306049838,20|120,137,0.0019314314051020556,0.32136293943751526,0.3192421740403122,2.691083365772105,0.2359395245324748,0.053064709137789934,true,true
10,6.299999999999994,artificial_alpha_beta_to_xy,0.026100644991582378,0.005007255569083935,0.01273769516956276,300.0000002746547,48|65,138,0.0019146372767175836,0.9064821786608859,0.14720070817812628,2.6910831476209514,0.23593950786440718,0.1929275862576686,true,true
11,7.899999999999988,artificial_alpha_beta_to_xy,0.027902411745024943,0.0027355710990099855,0.011770404104206773,300.00000005852314,13|94,139,0.0015464179771404619,0.17333660166085635,0.4102232101842847,2.6910831460664233,0.23593950774563188,0.1770154092466718,true,true
12,7.899999999999988,artificial_alpha_beta_to_xy,0.015599780071545805,0.01128539689815165,0.002419525634299285,300.26218384027663,34|113,140,0.0019296870406402484,0.22218950956304268,0.9161513452153383,2.6929679183955813,0.23608350218272944,0.17047137235704823,true,true
