exit_id,time_s,particle_id,species_id,x_m,y_m,z_m,axis,side,step_fraction,proposed_x_m,proposed_y_m,proposed_z_m,reason
1,3.336059559993882,115,artificial_beta,0.032,0.01355590021166047,0.011256324778904312,1,upper,0.36059559993880497,0.032087725271889946,0.013521706756085586,0.011303187660735134,absorbed_boundary_outflow
2,3.699244721411728,73,artificial_beta,0.032,0.0010357501375031655,0.0025032520449536737,1,upper,0.9924472141172624,0.032001315129034175,0.0010360284892548524,0.002502695067367798,absorbed_boundary_outflow
3,3.8082563761256667,47,artificial_alpha,0.032,0.011377621903778388,0.011075338110109566,1,upper,0.0825637612566476,0.03207904425593838,0.011365062039353164,0.011125821598413278,absorbed_boundary_outflow
4,3.9547106072170224,37,artificial_alpha,0.032,0.0026226032176781284,0.004550951299749993,1,upper,0.5471060721702025,0.03207468216272498,0.0026228867082126964,0.004543897295317529,absorbed_boundary_outflow
5,4.128215566580787,86,artificial_beta,0.032,0.014632870328654055,0.00785121272538995,1,upper,0.2821556658078528,0.03209819947930154,0.014644535382919505,0.0077988989876358866,absorbed_boundary_outflow
6,4.27811828623084,89,artificial_beta,0.032,0.003296734040658619,0.004431892401047616,1,upper,0.7811828623083925,0.03202357498712073,0.003301419188190535,0.0044501959221883314,absorbed_boundary_outflow
7,4.3045259877259126,24,artificial_alpha,0.032,0.006616106339686904,0.014121319951535054,1,upper,0.045259877259115885,0.03216372982550273,0.0066375022367597975,0.014130987628915705,absorbed_boundary_outflow
8,4.353169730897585,99,artificial_beta,0.032,0.0139622554215759,0.007760657657996602,1,upper,0.5316973089758489,0.03203973731508689,0.013970483003617803,0.00779866097588867,absorbed_boundary_outflow
9,4.47818347663378,68,artificial_beta,0.032,0.009188704781125049,0.013368240063628758,1,upper,0.7818347663377991,0.03200465682084268,0.009198021687178343,0.013352080273814782,absorbed_boundary_outflow
10,4.866058676087613,72,artificial_beta,0.032,0.003394284200620881,0.01224041271884232,1,upper,0.6605867608761427,0.03201472965810147,0.00340204597016216,0.01225476475851065,absorbed_boundary_outflow
11,4.886717114963092,93,artificial_beta,0.032,0.013210983719285243,0.007896305515393416,1,upper,0.8671711496309332,0.03202130670649927,0.013216364467409326,0.007898022728516706,absorbed_boundary_outflow
12,5.840162055695532,54,artificial_alpha,0.032,0.00791073919032599,0.010497251346076295,1,upper,0.4016205569553701,0.03200738360209379,0.007910737980931882,0.010468547285609999,absorbed_boundary_outflow
13,6.00322814477059,96,artificial_beta,0.032,0.001581095192329241,0.012315992870967685,1,upper,0.03228144770595725,0.032063510380520945,0.0016118588605671768,0.012374886917574516,absorbed_boundary_outflow
14,6.034742922963918,114,artificial_beta,0.032,0.0040037869052519095,0.004623690030578181,1,upper,0.3474292296392325,0.03206112568520671,0.004007988162718882,0.004580824440735626,absorbed_boundary_outflow
15,6.21509332032863,85,artificial_beta,0.032,0.007552121033181331,0.0013489447981082448,1,upper,0.15093320328636006,0.03212012387024633,0.007548749483873157,0.0013514876730843335,absorbed_boundary_outflow
16,6.83343999115384,135,artificial_xy_product,0.032,0.0115599627636133,0.005546577749413877,1,upper,0.33439991153848353,0.03206157719559219,0.011598143543200764,0.005533331147074055,absorbed_boundary_outflow
17,6.85362676876282,71,artificial_beta,0.032,0.011319517286369027,0.01024767497218126,1,upper,0.5362676876282776,0.03207438533326158,0.011343092888971801,0.010274056419500766,absorbed_boundary_outflow
18,7.373093102995522,81,artificial_beta,0.032,0.015795785245255187,0.006796414910250958,1,upper,0.7309310299553206,0.03203245115311339,0.0157965199181011,0.006779913337748219,absorbed_boundary_outflow
19,7.494668851873698,50,artificial_alpha,0.032,0.0011251702412130213,0.010225104135133568,1,upper,0.946688518737076,0.03200961925173971,0.001118889825370889,0.010224991338703743,absorbed_boundary_outflow
20,7.539580865602196,31,artificial_alpha,0.032,0.015461648810945144,0.015125618882440944,1,upper,0.39580865602206644,0.03206044329001779,0.015430843496550786,0.015103048798673517,absorbed_boundary_outflow
21,7.839046633565305,27,artificial_alpha,0.032,0.008897607996730826,0.0017768899636070195,1,upper,0.3904663356531671,0.03206669218880658,0.008913400205463254,0.0017608694278193583,absorbed_boundary_outflow
